SoilLat,SoilLon,SolarLat,SolarLon,Year,SoilRegionKey,SolarRegionKey,lkey
35.203,-98.35700000000001,35.21,-98.34,2017,35.203:-98.357,-98.357:35.210,13102
35.525,-98.00299999999999,35.53,-98.02,2017,35.525:-98.003,-98.003:35.530,13103
34.289,-97.24799999999999,34.29,-97.26,2017,34.289:-97.248,-97.248:34.290,13104
35.9,-95.04,35.89,-95.06,2017,35.900:-95.040,-95.040:35.890,14990
34.012,-95.573,34.01,-95.58,2017,34.012:-95.573,-95.573:34.010,14991
36.75,-102.515,36.73,-102.5,2017,36.750:-102.515,-102.515:36.730,13105
35.153,-97.40700000000001,35.17,-97.42,2017,35.153:-97.407,-97.407:35.170,13106
34.593,-96.303,34.61,-96.3,2017,34.593:-96.303,-96.303:34.610,14992
34.631,-98.458,34.65,-98.46,2017,34.631:-98.458,-98.458:34.650,13107
34.281,-98.40100000000001,34.29,-98.42,2017,34.281:-98.401,-98.401:34.290,13108
36.755,-95.213,36.77,-95.22,2017,36.755:-95.213,-95.213:36.770,10631
35.900999999999996,-96.32600000000001,35.89,-96.34,2017,35.901:-96.326,-96.326:35.890,13110
35.639,-99.0,35.65,-99.02,2017,35.639:-99.000,-99.000:35.650,13111
36.416,-94.787,36.41,-94.78,2017,36.416:-94.787,-94.787:36.410,14993
35.988,-99.007,35.97,-99.02,2017,35.988:-99.007,-99.007:35.970,13112
36.218,-99.69200000000001,36.21,-99.7,2017,36.218:-99.692,-99.692:36.210,13113
36.379,-97.78299999999999,36.37,-97.78,2017,36.379:-97.783,-97.783:36.370,13115
34.681,-97.3,34.69,-97.3,2017,34.681:-97.300,-97.300:34.690,13116
35.03,-97.882,35.05,-97.9,2017,35.030:-97.882,-97.882:35.050,13117
36.796,-97.787,36.81,-97.78,2017,36.796:-97.787,-97.787:36.810,13118
34.921,-99.568,34.93,-99.58,2017,34.921:-99.568,-99.568:34.930,13119
34.769,-99.834,34.77,-99.82,2017,34.769:-99.834,-99.834:34.770,17403
36.797,-99.649,36.81,-99.66,2017,36.797:-99.649,-99.649:36.810,13123
35.258,-95.135,35.25,-95.14,2017,35.258:-95.135,-95.135:35.250,14994
35.029,-96.236,35.01,-96.22,2017,35.029:-96.236,-96.236:35.010,14995
34.597,-99.441,34.61,-99.46,2017,34.597:-99.441,-99.441:34.610,13125
34.069,-97.838,34.05,-97.82,2017,34.069:-97.838,-97.838:34.050,13126
34.31,-96.67,34.33,-96.66,2017,34.310:-96.670,-96.670:34.330,13127
36.796,-97.10600000000001,36.81,-97.1,2017,36.796:-97.106,-97.106:36.810,13128
35.945,-97.94200000000001,35.93,-97.94,2017,35.945:-97.942,-97.942:35.930,13129
34.859,-99.012,34.85,-99.02,2017,34.859:-99.012,-99.012:34.850,13130
34.869,-95.221,34.85,-95.22,2017,34.869:-95.221,-95.221:34.850,14996
34.948,-94.74600000000001,34.93,-94.74,2017,34.948:-94.746,-94.746:34.930,14997
35.702,-96.88,35.69,-96.86,2017,35.702:-96.880,-96.880:35.690,13131
35.945,-97.40799999999999,35.93,-97.42,2017,35.945:-97.408,-97.408:35.930,13133
33.894,-97.24799999999999,33.89,-97.26,2017,33.894:-97.248,-97.248:33.890,13134
35.096,-97.301,35.09,-97.3,2017,35.096:-97.301,-97.301:35.090,13135
34.064,-94.809,34.05,-94.82,2017,34.064:-94.809,-94.809:34.050,14998
35.347,-95.664,35.33,-95.66,2017,35.347:-95.664,-95.664:35.330,14999
36.334,-98.53200000000001,36.33,-98.54,2017,36.334:-98.532,-98.532:36.330,13136
33.999,-96.756,34.01,-96.74,2017,33.999:-96.756,-96.756:34.010,13137
36.292,-95.223,36.29,-95.22,2017,36.292:-95.223,-95.223:36.290,10632
34.485,-97.09,34.49,-97.1,2017,34.485:-97.090,-97.090:34.490,13138
35.56,-95.40700000000001,35.57,-95.42,2017,35.560:-95.407,-95.407:35.570,10633
36.38,-97.175,36.37,-97.18,2017,36.380:-97.175,-97.175:36.370,13140
36.798,-95.609,36.81,-95.62,2017,36.798:-95.609,-95.609:36.810,10634
35.465,-96.303,35.45,-96.3,2017,35.465:-96.303,-96.303:35.450,13142
35.552,-97.40700000000001,35.57,-97.42,2017,35.552:-97.407,-97.407:35.570,13144
35.617,-95.95299999999999,35.61,-95.94,2017,35.617:-95.953,-95.953:35.610,10635
36.58,-96.53299999999999,36.57,-96.54,2017,36.580:-96.533,-96.533:36.570,15626
36.834,-94.82799999999999,36.85,-94.82,2017,36.834:-94.828,-94.828:36.850,10636
36.361999999999995,-96.63799999999999,36.37,-96.62,2017,36.362:-96.638,-96.638:36.370,17497
36.094,-96.988,36.09,-96.98,2017,36.094:-96.988,-96.988:36.090,13148
34.946999999999996,-95.72,34.93,-95.74,2017,34.947:-95.720,-95.720:34.930,15000
34.735,-96.669,34.73,-96.66,2017,34.735:-96.669,-96.669:34.730,13149
35.181999999999995,-96.883,35.17,-96.9,2017,35.182:-96.883,-96.883:35.170,13150
34.419000000000004,-95.35799999999999,34.41,-95.34,2017,34.419:-95.358,-95.358:34.410,15001
35.718,-99.68299999999999,35.73,-99.7,2017,35.718:-99.683,-99.683:35.730,13151
36.336,-95.572,36.33,-95.58,2017,36.336:-95.572,-95.572:36.330,10637
35.162,-96.609,35.17,-96.62,2017,35.162:-96.609,-96.609:35.170,13152
35.45,-94.78200000000001,35.45,-94.78,2017,35.450:-94.782,-94.782:35.450,15002
34.485,-97.852,34.49,-97.86,2017,34.485:-97.852,-97.852:34.490,13153
36.749,-101.48899999999999,36.73,-101.5,2017,36.749:-101.489,-101.489:36.730,13155
34.376999999999995,-98.92399999999999,34.37,-98.94,2017,34.377:-98.924,-98.924:34.370,13156
36.14,-96.03,36.13,-96.02,2017,36.140:-96.030,-96.030:36.130,10638
35.964,-95.514,35.97,-95.5,2017,35.964:-95.514,-95.514:35.970,10639
36.711,-95.89399999999999,36.73,-95.9,2017,36.711:-95.894,-95.894:36.730,10640
35.281,-98.991,35.29,-98.98,2017,35.281:-98.991,-98.991:35.290,13157
36.695,-98.995,36.69,-98.98,2017,36.695:-98.995,-98.995:36.690,13158
36.483000000000004,-99.281,36.49,-99.3,2017,36.483:-99.281,-99.281:36.490,13160
44.498999999999995,-123.445,44.49,-123.46,2017,44.499:-123.445,-123.445:44.490,10510
46.033,-123.726,46.05,-123.74,2017,46.033:-123.726,-123.726:46.050,10366
45.955,-123.064,45.97,-123.06,2017,45.955:-123.064,-123.064:45.970,10367
43.138999999999996,-124.09100000000001,43.13,-124.1,2017,43.139:-124.091,-124.091:43.130,10368
42.475,-124.14200000000001,42.49,-124.14,2017,42.475:-124.142,-124.142:42.490,10369
45.43899999999999,-120.20700000000001,45.45,-120.22,2017,45.439:-120.207,-120.207:45.450,10370
42.39,-123.635,42.41,-123.62,2017,42.390:-123.635,-123.635:42.410,14189
45.581,-122.374,45.57,-122.38,2017,45.581:-122.374,-122.374:45.570,10372
44.898,-123.381,44.89,-123.38,2017,44.898:-123.381,-123.381:44.890,10373
45.41,-120.694,45.41,-120.7,2017,45.410:-120.694,-120.694:45.410,10374
45.413999999999994,-123.65899999999999,45.41,-123.66,2017,45.414:-123.659,-123.659:45.410,10376
45.549,-123.115,45.53,-123.1,2017,45.549:-123.115,-123.115:45.530,10377
45.254,-123.318,45.25,-123.3,2017,45.254:-123.318,-123.318:45.250,10514
44.376999999999995,-123.82799999999999,44.37,-123.82,2017,44.377:-123.828,-123.828:44.370,18158
42.568000000000005,-122.699,42.57,-122.7,2017,42.568:-122.699,-122.699:42.570,10379
44.68899999999999,-117.54799999999999,44.69,-117.54,2017,44.689:-117.548,-117.548:44.690,10380
43.839,-121.45299999999999,43.85,-121.46,2017,43.839:-121.453,-121.453:43.850,10381
45.353,-118.725,45.37,-118.74,2017,45.353:-118.725,-118.725:45.370,10383
45.216,-121.775,45.21,-121.78,2017,45.216:-121.775,-121.775:45.210,10384
45.174,-122.395,45.17,-122.38,2017,45.174:-122.395,-122.395:45.170,10385
44.081,-120.13799999999999,44.09,-120.14,2017,44.081:-120.138,-120.138:44.090,10386
44.081,-120.89,44.09,-120.9,2017,44.081:-120.890,-120.890:44.090,10387
43.278999999999996,-122.53299999999999,43.29,-122.54,2017,43.279:-122.533,-122.533:43.290,10388
45.39,-118.052,45.41,-118.06,2017,45.390:-118.052,-118.052:45.410,10389
44.269,-118.85,44.25,-118.86,2017,44.269:-118.850,-118.850:44.250,86877
44.478,-119.08,44.49,-119.1,2017,44.478:-119.080,-119.080:44.490,10391
43.016000000000005,-119.07,43.01,-119.06,2017,43.016:-119.070,-119.070:43.010,14289
45.571999999999996,-121.59899999999999,45.57,-121.58,2017,45.572:-121.599,-121.599:45.570,10392
